ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364640,HY556608,12/31/2015 08:00:00 PM,048XX N MILWAUKEE AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,1623,16,45,11,3,1139930,1931455,2015,01/07/2016 16:14,41.96801599,-87.7608737,"(41.968015993, -87.760873695)"
10365508,HZ101197,12/31/2015 07:56:00 PM,092XX S BISHOP ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,2222,22,21,73,26,1168289,1843425,2015,01/07/2016 16:14,41.72588638,-87.65914073,"(41.725886376, -87.659140732)"
10364591,HY556526,12/31/2015 07:48:00 PM,002XX W MADISON ST,1360,CRIMINAL TRESPASS,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),true,false,122,1,2,32,26,1174636,1900346,2015,01/07/2016 16:14,41.88194442,-87.63419529,"(41.881944424, -87.634195294)"
10364567,HY556520,12/31/2015 07:45:00 PM,022XX E 101ST ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,STREET,true,false,431,4,7,51,08A,1192747,1838438,2015,01/07/2016 16:14,41.71164098,-87.56971265,"(41.711640975, -87.569712649)"
10364626,HY556573,12/31/2015 07:45:00 PM,101XX S PAXTON AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,431,4,7,51,24,1192835,1838306,2015,01/07/2016 16:14,41.71127661,-87.56939467,"(41.711276612, -87.569394665)"
10365818,HY556545,12/31/2015 07:39:00 PM,044XX N SHERIDAN RD,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1914,19,46,3,7,1168802,1929817,2015,01/07/2016 16:14,41.96294283,-87.65476118,"(41.962942827, -87.654761179)"
10364642,HY556531,12/31/2015 07:38:00 PM,019XX S MICHIGAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARKING LOT/GARAGE(NON.RESID.),true,false,131,1,3,33,15,1177521,1890920,2015,01/15/2016 03:47:13 PM,41.85601393,-87.62388779,"(41.85601393, -87.62388779)"
10365541,HZ101248,12/31/2015 07:30:00 PM,029XX S DEARBORN ST,820,THEFT,$500 AND UNDER,RESIDENCE,false,false,133,1,3,35,6,1176241,1885750,2015,01/07/2016 16:14,41.841856,-87.62874168,"(41.841855999, -87.628741678)"
10364983,HZ100133,12/31/2015 07:30:00 PM,051XX S PAULINA ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,932,9,16,61,5,1165882,1870538,2015,01/07/2016 16:14,41.80033954,-87.66718863,"(41.800339536, -87.667188625)"
10364564,HY556495,12/31/2015 07:25:00 PM,103XX S TORRENCE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,false,false,434,4,10,51,14,1195507,1837029,2015,01/07/2016 16:14,41.70770693,-87.55965139,"(41.707706931, -87.559651388)"
